ลำดับ|ประเภท|กลุ่มอาชีพ|รหัส|ชื่อสายงาน|ชื่อตำแหน่งในสายงาน|ระดับ
1|บริหาร|1|11001|บริหาร|นักบริหาร|ต้น-สูง
2|บริหาร|1|11002|บริหารงานปกครอง|นักปกครอง|ต้น-สูง
3|บริหาร|1|11003|บริหารการทูต|นักบริหารการทูต|ต้น-สูง
4|บริหาร|1|11004|ตรวจราชการกระทรวง|ผู้ตรวจราชการกระทรวง|สูง
5|อำนวยการ|1|21001|อำนวยการ|ผู้อำนวยการ|ต้น-สูง
6|อำนวยการ|1|21002|อำนวยการเฉพาะด้าน|ผู้อำนวยการเฉพาะด้าน(ระบุชื่อสายงาน)|ต้น-สูง
7|อำนวยการ|1|21003|ตรวจราชการกรม|ผู้ตรวจราชการกรม|สูง
8|วิชาการ|1|31001|กฎหมายกฤษฎีกา|นักกฎหมายกฤษฎีกา|ปฏิบัติการ-ทรงคุณวุฒิ
9|วิชาการ|1|31002|การทูต|นักการทูต|ปฏิบัติการ-ชำนาญการพิเศษ
10|วิชาการ|1|31003|คุมประพฤติ|พนักงานคุมประพฤติ|ปฏิบัติการ-เชี่ยวชาญ
11|วิชาการ|1|31004|จัดการงานทั่วไป|นักจัดการงานทั่วไป|ปฏิบัติการ-ชำนาญการพิเศษ
12|วิชาการ|1|31005|เจ้าหน้าที่คดีพิเศษ|เจ้าหน้าที่คดีพิเศษ|ปฏิบัติการ-ชำนาญการพิเศษ
13|วิชาการ|1|31006|ทรัพยากรบุคคล|นักทรัพยากรบุคคล|ปฏิบัติการ-ทรงคุณวุฒิ
14|วิชาการ|1|31007|ทะเบียนวิชาชีพ|นักทะเบียนวิชาชีพ|ปฏิบัติการ-ชำนาญการพิเศษ
15|วิชาการ|1|31008|นิติการ|นิติกร|ปฏิบัติการ-ทรงคุณวุฒิ
16|วิชาการ|1|31009|ปฏิบัติการปกครอง|เจ้าพนักงานปกครอง|ปฏิบัติการ-ชำนาญการพิเศษ
17|วิชาการ|1|31010|พนักงานสอบสวนคดีพิเศษ|พนักงานสอบสวนคดีพิเศษ|ชำนาญการ-เชี่ยวชาญ
